Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment,Melting Temperature [K],,
192,1218,Chloryl fluoride,ClO2F,5,"A""",291.2,,2.33,-3.918,-115,,
203,1219,thionyl chloride,SOCl2,1,A',302.6,,2.104,0.827,-104.5,,
218,1221,Sulfur dioxide,SO2,1,A1,63.8,28,2.186,1.467,-72,,
231,1222,dibromomethane,CH2Br2,8,B2,104,,1.744,3.612,-52.7,,
311,1230,Hydrogen sulfide,H2S,2,A1,8.8,45.9,1.413,0.663,-85.5,,
530,1248,fluorochloromethane,CH2FCl,8,"A""",4.3,,2.143,1.143,-133,sold diluted,
584,1253,Nitrous oxide,N2O,2,Σ,164.9,5.7,0.701,-4.271,-90.86,,
643,1258,Chloroform,CHCl3,4,E,39.7,6.9,1.353,2.812,-63.5,,
729,1265,Silicon monoxide,SiO,1,Σ,89,15.7,3.251,-5.322,1,solid,
894,1279,Lithium dioxide,LiO2,1,A1,1.3,448.9,6.137,9.264,25,solid,
912,1281,fluorodichloromethane,CHFCl2,7,"A""",97.1,,1.533,-1.027,-135,does not seem easy to buy,
934,1283,Phosphoryl chloride,Cl3PO,1,A1,237,,2.533,-7.682,1.25,,
1176,1300,Phosphorus oxychloride,OPCl,1,A',168.1,,2.368,4.871,1.25,does not seem easy to buy,
1245,1304,Methylene chloride,CH2Cl2,8,B2,73.5,1.9,1.993,3.275,-96.7,,
1249,1304,Thiazyl fluoride,FSN,1,A',18.3,,1.405,2.302,-89,,
1583,1333,methyl bromide,CH3Br,2,A1,46.5,,2.192,4.109,-93.66,,
1667,1342,Hydrogen peroxide,H2O2,6,B,118.8,,4.052,1.766,-0.43,,
1706,1346,difluorochloromethane,CHF2Cl,2,A',128.4,,1.648,-2.402,-175.42,diluted,
1777,1354,Nitric acid,HNO3,4,A',172.1,,2.862,1.736,-42,,
2088,1383,Methyl chloride,CH3Cl,2,A1,30.1,1.8,2.243,1.748,-97.4,HF,
2101,1384,formyl fluoride,HFCO,3,A',7.1,,2.391,1.908,-142,,
2139,1388,Nitryl chloride,ClNO2,1,A1,450.4,,1.642,1.106,-145,,
2159,1390,Sulfuryl chloride,SO2Cl2,8,B2,288.7,,2.154,-0.724,-54.1,,
2341,1401,Chlorine nitrate,ClONO2,2,A',379.6,,2.146,2.602,-101,HF,
2343,1402,Bromine nitrate,BrONO2,2,A',426,,1.484,1.577,-42,,
2480,1407,Fluorine nitrate,FNO3,2,A',291,,0.865,3.666,-175,unstable,
2931,1435,Hypofluorous acid,HOF,2,A',58.4,3.7,2.155,-1.594,-117,HF,
3105,1449,Dinitrogen trioxide,N2O3,3,A',131.1,,1.969,5.445,-100.7,,
4904,1565,beryllium oxide,BeO,1,Σ,107.8,,6.782,6.762,2,solid,
4929,1588,boron nitride,BN,1,Σ,26.8,,2.624,-0.921,2,solid,
4993,1608,chloramine,NH2Cl,2,A',28.6,8,2.299,0.92,-66,found in solution,
5231,1663,Ammonia,NH3,4,E,21.3,10.6,1.92,-2.815,-77.73,,
5609,1869,Phosgene,CCl2O,1,A1,452.1,,1.359,-3.968,-118,found in solution,
5633,1894,Nitrosyl chloride,ClNO,1,A',991.4,,1.836,1,-59.4,HF,
5638,1905,Nitrosyl fluoride,FNO,1,A',207.9,12.7,0.744,2.089,-166,HF,
5646,1925,Carbonyl fluoride,FCO,1,A',355.4,,1.274,2.331,-111.26,wrong wikipedia entry wikipedia referes to F2C,
5754,2147,Cyanoacetylene,HCCCN,3,Σ,3.4,,4.091,1.906,5,Tom says ISTA does not like this,
5799,2192,Hydrogen cyanide,HCN,2,Σ,11.8,39.5,3.209,2.033,-13.29,I do not want you,
5811,2219,dichlorosilane,SiH2Cl2,1,A1,114.3,,1.947,3.372,-122,,
5819,2229,difluorosilane,SiH2F2,6,B1,248.8,35.9,1.708,1.625,-122,,
5831,2259,Trichlorosilane,SiHCl3,1,A1,111.5,,1.363,4.008,-126.6,,
5841,2300,trifluorosilane,SiHF3,1,A1,116.1,67.7,1.552,3.671,-131,,
5854,2321,Hydrogen selenide,H2Se,1,A1,13.5,,0.958,1.218,-65.73,,
5868,2339,chlorocyanogen,ClCN,1,Σ,49.4,,2.764,-4.18,-6.55,,
5872,2340,Phosphine,PH3,3,E,146.9,159.3,0.881,-2.792,-132.8,,
5950,2517,hydrogen bromide,HBr,1,Σ,8.7,,1.107,4.474,-86.9,,
5977,2612,trisulfane,HSSSH,1,A,1.5,,0.749,-3.224,-53,,
6239,2865,Hydrogen chloride,HCl,1,Σ,24.3,126.3,1.502,3.599,-114.22,,
1087,1294,Formic acid,HCOOH,5,A',21.4,0.7,5.463,-0.979,8.4,,
3126,1450,Nitrogen dioxide,NO2,1,A1,4.2,46.2,0.681,1.358,-9.3,,
5421,1741,Calcium Carbonate,CaCO3,1,A1,814.2,,17.269,11.876,1,solid,
9808,3081,bromoform,CHBr3,1,A1,2.5,,1.057,1.419,8.69,,
